PLAYER,Dacc,DD,GIR,SGpp,SCR,R1,R2,R3,R4,TOT,SGttg,SGott,SGapr,SGarg
Webb Simpson,82.14,280.5,76.39,2.342,64.71,66,63,68,73,270,1.433,0.367,-0.181,1.247
Jason Dufner,80.36,298.5,66.67,1.864,70.83,72,69,66,68,275,0.662,1.023,0.214,-0.575
Beau Hossler,80.36,297.8,73.61,-1.78,57.89,70,69,73,71,283,2.305,1.053,0.539,0.713
C.T. Pan,78.57,286.8,70.83,0.41,52.38,68,70,76,69,283,0.116,0.378,-0.007,-0.256
Henrik Stenson,76.79,282.4,83.33,0.279,66.67,68,70,71,70,279,1.246,0.387,0.523,0.336
Richy Werenski,76.79,283.6,80.56,0.222,50,70,71,68,70,279,1.303,0.754,1.149,-0.6
Ryan Moore,75,281.5,75,-1.603,55.56,71,70,73,66,280,2.878,0.375,1.656,0.847
Alex Noren,73.21,284.4,72.22,0.666,65,66,69,77,66,278,1.109,0.255,0.845,0.01
Ted Potter Jr.,73.21,282.1,68.06,1.044,65.22,70,70,72,70,282,-0.269,0.069,-1.328,0.99
Chez Reavie,73.21,282.9,66.67,1.923,62.5,71,71,69,69,280,-0.648,0.136,0.432,-1.216
Justin Rose,73.21,300,66.67,0.182,54.17,68,72,73,66,279,1.344,0.644,0.366,0.333
Keegan Bradley,71.43,288.5,66.67,0.832,58.33,69,69,72,66,276,1.443,-0.349,1.634,0.158
Adam Hadwin,71.43,293.4,70.83,0.47,52.38,72,68,71,73,284,-0.195,0.802,0.002,-0.999
Bryson DeChambeau,69.64,293.8,68.06,0.003,60.87,70,67,73,71,281,1.023,0.539,0.189,0.295
Charles Howell III,69.64,303.4,70.83,1.186,66.67,68,67,74,69,278,0.589,0.117,0.347,0.125
Mackenzie Hughes,69.64,292.6,68.06,0.17,47.83,76,67,68,73,284,0.105,0.305,1.025,-1.226
Chris Kirk,69.64,287,76.39,-0.556,70.59,70,71,70,72,283,1.081,-0.135,0.634,0.583
Matt Fitzpatrick,67.86,288.1,76.39,0.425,52.94,72,70,70,71,283,0.1,-0.085,0.408,-0.222
Tommy Fleetwood,67.86,290.9,75,1.032,44.44,69,71,68,68,276,1.243,-0.08,1.05,0.273
Brice Garnett,67.86,287.6,72.22,0.06,50,69,69,73,71,282,0.715,0.664,0.042,0.009
J.J. Henry,67.86,289.1,75,-1.118,44.44,72,71,69,75,287,0.643,0.353,0.169,0.121
Matt Kuchar,67.86,284.9,75,0.321,50,66,71,71,70,278,1.454,-0.027,1.096,0.384
Andrew Landry,67.86,291,63.89,1.198,61.54,67,75,71,74,287,-1.673,0.393,-1.289,-0.776
Ryan Palmer,67.86,285.1,66.67,1.2,66.67,74,67,69,69,279,0.325,0.383,-0.109,0.051
Charl Schwartzel,67.86,299.3,77.78,0.805,75,68,66,73,67,274,1.971,0.76,1.234,-0.023
Jimmy Walker,67.86,303.3,68.06,1.02,69.57,69,68,70,67,274,1.755,0.442,0.532,0.781
Rafa Cabrera Bello,66.07,293.9,70.83,0.243,42.86,71,71,67,69,278,1.533,0.758,0.51,0.264
Emiliano Grillo,66.07,287.6,68.06,0.322,52.17,69,71,72,69,281,0.703,-0.454,1.237,-0.08
Chesson Hadley,66.07,301.1,65.28,1.751,56,66,69,75,67,277,0.275,-0.038,0.802,-0.489
Si Woo Kim,66.07,290.3,69.44,-0.378,40.91,67,72,74,72,285,0.403,0.594,-0.868,0.677
Martin Laird,66.07,293.4,65.28,1.302,44,72,71,70,71,284,-1.027,0.126,-0.3,-0.853
Grayson Murray,66.07,302,69.44,0.181,68.18,72,68,69,71,280,1.095,1.322,-0.408,0.181
Xander Schauffele,66.07,292.4,72.22,-0.307,75,68,68,71,67,274,3.082,0.095,1.373,1.614
Nick Watney,66.07,304.4,70.83,0.67,52.38,70,72,72,67,281,0.356,0.074,0.335,-0.053
Billy Horschel,64.29,292.5,62.5,1.223,59.26,68,70,73,70,281,-0.198,0.469,-0.116,-0.55
Dustin Johnson,64.29,313.3,72.22,0.456,65,66,71,69,72,278,1.32,0.951,-0.099,0.468
Brooks Koepka,64.29,308.9,73.61,0.457,78.95,70,70,74,63,277,1.569,0.795,0.645,0.128
Jordan Spieth,64.29,296.5,72.22,-0.36,55,75,68,65,74,282,1.135,0.571,0.107,0.456
Steve Stricker,64.29,285.6,79.17,0.255,26.67,67,69,73,70,279,1.27,-0.032,1.199,0.104
Harold Varner III,64.29,293.4,65.28,1.742,52,71,67,70,68,276,0.534,0.436,-0.323,0.421
Kiradech Aphibarnrat,62.5,292.1,58.33,1.366,76.67,71,71,71,67,280,-0.091,0.455,-1.159,0.614
Daniel Berger,62.5,290.5,76.39,-0.472,41.18,74,68,72,70,284,0.747,-0.854,1.886,-0.285
Scott Brown,62.5,283.6,75,0.814,44.44,70,71,69,69,279,0.711,-0.625,1.291,0.045
Ian Poulter,62.5,281.9,68.06,1.452,69.57,70,69,69,69,277,0.573,-0.075,-0.028,0.676
Jon Rahm,62.5,304.1,75,-1.538,50,68,70,77,70,285,1.563,0.631,0.581,0.35
Rory Sabbatini,62.5,281.9,68.06,0.297,56.52,67,71,71,71,280,0.978,0.634,0.09,0.254
Adam Scott,62.5,305.5,72.22,0.59,80,69,68,72,68,277,1.435,0.392,0.736,0.306
Chris Stroud,62.5,288.9,59.72,0.183,72.41,70,70,72,71,283,0.342,-0.564,0.914,-0.008
Tiger Woods,62.5,297.3,69.44,1.02,63.64,72,71,65,69,277,1.005,0.143,0.177,0.685
Patrick Cantlay,60.71,297.6,72.22,-0.657,50,66,68,74,71,279,2.182,0.547,-0.089,1.724
Danny Lee,60.71,286.5,65.28,1.428,76,68,66,70,72,276,0.847,-0.499,0.994,0.352
Kevin Na,60.71,288.6,68.06,0.046,39.13,69,71,72,71,283,0.479,-0.487,0.237,0.728
Patrick Reed,60.71,285.9,68.06,-0.128,69.57,72,68,70,72,282,0.903,0.157,0.678,0.068
Jhonattan Vegas,60.71,291.9,73.61,0.367,47.37,67,72,70,73,282,0.409,0.421,0.683,-0.695
Byeong Hun An,58.93,303.9,70.83,0.178,66.67,71,70,69,70,280,1.097,0.613,0.271,0.213
Jason Day,58.93,308.3,69.44,0.828,77.27,69,67,71,68,275,1.697,0.761,0.173,0.764
Tony Finau,58.93,307.6,76.39,0.151,47.06,70,72,71,71,284,0.124,0.229,0.415,-0.52
Cody Gribble,58.93,297.5,73.61,1.309,52.63,68,71,72,69,280,-0.034,-0.016,0.058,-0.076
Bubba Watson,58.93,304.4,68.06,-0.224,56.52,68,71,73,72,284,0.5,0.308,-0.035,0.226
Ross Fisher,57.14,294.8,72.22,0.212,45,70,73,73,73,289,-1.187,-1.51,0.256,0.068
Sergio Garcia,57.14,290.5,65.28,-0.159,56,68,69,75,76,288,-0.566,-0.889,0.396,-0.072
Jamie Lovemark,57.14,300.9,66.67,-0.162,58.33,76,67,68,67,278,1.937,0.56,0.484,0.893
Shane Lowry,57.14,300,69.44,1.477,63.64,75,68,69,71,283,-0.952,-0.684,-0.883,0.615
Justin Thomas,55.36,298.1,63.89,0.244,69.23,73,70,68,66,277,1.782,0.255,0.441,1.086
Austin Cook,53.57,284.9,66.67,1.306,45.83,72,70,71,70,283,-0.781,-0.874,0.79,-0.697
