Position,Player,Final Score,Final Score To Par,Rounded To Par
1,Scottie Scheffler,278.53,-9.47,-9
2,Doug Ghim,280.93,-7.07,-7
3,Matthieu Pavon,281.06,-6.94,-7
4,Jordan Spieth,281.17,-6.83,-7
5,Andrew Novak,281.62,-6.38,-6
6,Billy Horschel,281.62,-6.38,-6
7,Keith Mitchell,281.99,-6.01,-6
8,Shane Lowry,282.03,-5.97,-6
9,Ben Silverman,282.23,-5.77,-6
10,Xander Schauffele,282.38,-5.62,-6
11,Wyndham Clark,282.62,-5.38,-5
12,Sam Burns,282.66,-5.34,-5
13,Will Zalatoris,282.93,-5.07,-5
14,Sahith Theegala,283.01,-4.99,-5
15,Byeong Hun An,283.01,-4.99,-5
16,Jake Knapp,283.08,-4.92,-5
17,Erik van Rooyen,283.34,-4.66,-5
18,Austin Eckroat,283.43,-4.57,-5
19,Harris English,283.58,-4.42,-4
20,Davis Thompson,283.66,-4.34,-4
21,Beau Hossler,283.83,-4.17,-4
22,Maverick McNealy,284.02,-3.98,-4
23,Alex Noren,284.09,-3.91,-4
24,Tom Hoge,284.29,-3.71,-4
25,Nick Taylor,284.33,-3.67,-4
26,Max Homa,284.38,-3.62,-4
27,Jason Day,284.38,-3.62,-4
28,Ludvig Åberg,284.40,-3.60,-4
29,Tony Finau,284.45,-3.55,-4
30,Taylor Pendrith,284.46,-3.54,-4
31,Stephan Jaeger,284.52,-3.48,-3
32,Justin Thomas,284.54,-3.46,-3
33,Aaron Rai,284.64,-3.36,-3
34,Chan Kim,284.89,-3.11,-3
35,David Skinns,284.92,-3.08,-3
36,Akshay Bhatia,285.00,-3.00,-3
37,Russell Henley,285.09,-2.91,-3
38,Chris Kirk,285.10,-2.90,-3
39,Carson Young,285.17,-2.83,-3
40,Hideki Matsuyama,285.19,-2.81,-3
41,Rory McIlroy,285.22,-2.78,-3
42,Cameron Young,285.23,-2.77,-3
43,Mark Hubbard,285.28,-2.72,-3
44,Patrick Rodgers,285.29,-2.71,-3
45,Emiliano Grillo,285.31,-2.69,-3
46,Chesson Hadley,285.38,-2.62,-3
47,Si Woo Kim,285.47,-2.53,-3
48,K.H. Lee,285.57,-2.43,-2
49,Brendon Todd,285.62,-2.38,-2
50,Eric Cole,285.65,-2.35,-2
51,Corey Conners,285.66,-2.34,-2
52,Adam Scott,285.70,-2.30,-2
53,J.T. Poston,285.86,-2.14,-2
54,C.T. Pan,285.99,-2.01,-2
55,Andrew Putnam,285.99,-2.01,-2
56,Brian Harman,286.07,-1.93,-2
57,Brandon Wu,286.07,-1.93,-2
58,Ryo Hisatsune,286.08,-1.92,-2
59,Keegan Bradley,286.20,-1.80,-2
60,Justin Lower,286.25,-1.75,-2
61,Sam Stevens,286.27,-1.73,-2
62,Nico Echavarria,286.29,-1.71,-2
63,Charley Hoffman,286.30,-1.70,-2
64,Jimmy Stanger,286.33,-1.67,-2
65,Sami Valimaki,286.38,-1.62,-2
